link,title
https://www.youtube.com/watch?v=V1zw3a3UVmE,Sir Duke
https://www.youtube.com/watch?v=PbH9kvH74wE,The Chicken
https://www.youtube.com/watch?v=H1OAjvOuoNM,I Want You Back
https://www.youtube.com/watch?v=l9NzE6A5XZI,Girl From Ipanema
https://www.youtube.com/watch?v=eEwqQRPZOm8,All My Loving
https://www.youtube.com/watch?v=eeTkTyWaPoU,This Magic Moment
https://www.youtube.com/watch?v=vhz0Lfw0nFg,Groovin' High
https://www.youtube.com/watch?v=WzYP0A21jIo,Summertime
https://www.youtube.com/watch?v=PBQ_QcXlv1A,Take The 'A' Train
https://www.youtube.com/watch?v=M6Wq1JzWd7k,I Got A Woman
https://www.youtube.com/watch?v=VzLOBZDsOMo,Stompin' At the Savoy
https://www.youtube.com/watch?v=najJ8FQLg3I,Posion Ivy
https://www.youtube.com/watch?v=x51AnWggQ5Y,Teach Me How To Shimmy
https://www.youtube.com/watch?v=tzGpU0enEzY,Sea Journey
https://www.youtube.com/watch?v=fCYZvxNAQ6w,It's A Raggy Waltz
